filename,protein,source_organism,seq_len,property,readout,wt_readout,assay_method,n_variants,doi,remark
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-log2_rel_activity.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"log2 protease activity on the canonical TEVs motif ENLYFQ|S, relative to the TEVp 0 parent",0.0,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",4408,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Of the 4446 single substitutions the paper reports as theoretically possible across positions 1-234, 38 carry no measurement and are dropped, and the 234 rows in which the substituted residue equals the parent residue are the parent itself rather than variants, so they collapse into the single WT row. Residues 235-242 are outside the scanned range and rest on the reference sequence alone. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_A.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|A, arbitrary units",0.110107,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",13444,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_C.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|C, arbitrary units",0.145608,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",12415,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_D.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|D, arbitrary units",0.030408,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",14500,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_E.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|E, arbitrary units",0,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",13721,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_F.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|F, arbitrary units",0.047607,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",11532,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_G.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|G, arbitrary units",0.141107,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",14255,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_H.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|H, arbitrary units",0.081107,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",11910,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_I.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|I, arbitrary units",0,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",13664,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
CatalyticActivity/MLDEEP/Huber 2025-MLDEEP-TEVp-catalyticactivity-activity_P1prime_K.csv,"TEVp 0, the engineered tobacco etch virus NIa protease used as the library parent; it carries T17S, L56V, N68D, I77V, S135G and S219V relative to the viral polyprotein",Tobacco etch virus,242,Catalytic activity,"Protease activity on the TEVs motif ENLYFQ|K, arbitrary units",0,"DNA recorder in E. coli: a TEVp variant and a barcoded TEVs substrate are co-expressed, cleavage releases a degron-tagged Bxb1 recombinase that permanently inverts a DNA segment, and the inverted fraction is read by NGS of the paired protease and substrate barcodes over a 4 h induction.",14619,10.1038/s41467-025-60622-7,"The reference sequence is the library parent TEVp 0, the 242-residue NIa protease of UniProt P04517 carrying T17S, L56V, N68D, I77V, S135G and S219V; the paper states no sequence, so the parent residue at each scanned position was read off the site-saturation scan, where the parent's own row reads exactly 0 at all 234 positions, and the result was corroborated against 44 mutation labels printed in full elsewhere in the workbook, which verify without exception. Variants are named in the source by a three- or six-letter code over the randomized clusters, and are converted to substitution labels against the parent, a cluster letter equal to the parent residue contributing nothing. Libraries A (positions 30-32), B (217-219) and AB (both) are pooled, being the same measurement on the same parent in the same units; they share no variant with one another, so the pooling rests on that shared parent rather than on any overlapping measurement. Across all three libraries 241522 of 505580 protease-substrate combinations read NA, the pair never having been observed, and are dropped. Not extracted from this paper: the TEVs substrate landscapes, in which the varying sequence is the seven-residue substrate motif rather than the protease; and the in vitro and re-testing panels of Fig. 1e, 3a, 3b, 4d and 4e, each covering fewer than twenty distinct protease genotypes."
